"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","cellType"
"Cell3023",10669,19480,17401,1369,11895,1824,"Batch4"
"Cell3024",9451,26863,15631,1439,11519,1686,"Batch4"
"Cell3025",8789,18054,12622,1166,11927,1341,"Batch4"
"Cell3026",7220,16084,15030,1263,10715,1172,"Batch4"
"Cell3027",9910,23896,21157,1528,13142,1711,"Batch4"
"Cell3028",6871,13867,10991,1077,9939,1098,"Batch4"
"Cell3029",8490,16831,15627,1279,14340,1165,"Batch4"
"Cell3030",8621,23260,13599,1426,12924,1189,"Batch4"
"Cell3031",9412,20043,16875,1566,12203,1203,"Batch4"
"Cell3032",14196,29586,24753,2068,16214,1864,"Batch4"
"Cell3033",8756,18362,14532,1236,11101,1446,"Batch4"
"Cell3034",6714,15388,9600,1190,11218,858,"Batch4"
"Cell3035",7694,14974,14815,1188,10452,850,"Batch4"
"Cell3036",13225,25569,26049,1736,19097,2574,"Batch4"
"Cell3037",10052,17937,16951,1519,12327,1148,"Batch4"
"Cell3038",7949,15644,11129,1306,9374,1226,"Batch4"
"Cell3039",5276,12512,10170,944,7006,678,"Batch4"
"Cell3040",8562,25644,19202,1707,12565,1169,"Batch4"
"Cell3041",9012,19653,20475,1267,11252,1449,"Batch4"
"Cell3042",7168,12622,11351,861,8294,819,"Batch4"
"Cell3043",7866,12423,13819,996,7726,1110,"Batch4"
"Cell3044",6560,12528,8941,1055,8029,677,"Batch4"
"Cell3045",12342,33824,26374,1794,16444,1810,"Batch4"
"Cell3046",12506,18304,16211,1495,10907,1551,"Batch4"
"Cell3047",8232,15872,16540,1856,9129,1131,"Batch4"
"Cell3048",10197,16751,15450,1154,9914,1167,"Batch4"
"Cell3049",13408,23830,17305,2016,15490,1695,"Batch4"
"Cell3050",5697,15242,10501,981,7378,787,"Batch4"
"Cell3051",8291,19879,16895,1101,9648,941,"Batch4"
"Cell3052",9637,21980,19892,1687,13342,1220,"Batch4"
"Cell3053",6744,15206,14644,1082,8941,1091,"Batch4"
"Cell3054",10113,24466,17179,1420,9694,1679,"Batch4"
"Cell3055",7571,14826,12481,1025,9939,1025,"Batch4"
"Cell3056",7736,18272,13014,1250,8623,1376,"Batch4"
"Cell3057",9722,19130,13684,1241,10308,1178,"Batch4"
"Cell3058",11192,26894,21465,1548,12422,1789,"Batch4"
"Cell3059",9081,16801,15739,1799,11663,1249,"Batch4"
"Cell3060",10369,20109,23331,1571,14914,1461,"Batch4"
"Cell3061",9913,21859,16567,1527,15867,1516,"Batch4"
"Cell3062",9360,16383,14506,1046,11382,1225,"Batch4"
"Cell3063",9188,19076,13480,1542,11778,1478,"Batch4"
"Cell3064",8649,20645,12367,1300,11196,1554,"Batch4"
"Cell3065",9256,24573,15555,1625,13069,1302,"Batch4"
"Cell3066",10930,23747,15360,1706,16818,1677,"Batch4"
"Cell3067",9777,18816,17110,1327,11861,1423,"Batch4"
"Cell3068",8516,18167,15977,1374,10966,1377,"Batch4"
"Cell3069",8567,15015,14442,1133,12600,1487,"Batch4"
"Cell3070",10830,21528,17976,1272,11968,1396,"Batch4"
"Cell3071",9513,29840,15986,1610,14522,1630,"Batch4"
"Cell3072",7022,18917,10645,1135,10313,929,"Batch4"
"Cell3073",6492,20871,14037,1205,9639,1267,"Batch4"
"Cell3074",10607,24204,17396,1421,13644,1881,"Batch4"
"Cell3075",13746,30391,24991,2162,17094,1957,"Batch4"
"Cell3076",9375,17376,14694,1058,12295,1321,"Batch4"
"Cell3077",10732,19511,17142,1500,12311,1338,"Batch4"
"Cell3078",12985,32861,28661,2289,18717,1506,"Batch4"
"Cell3079",5832,23561,15985,1198,9677,1139,"Batch4"
"Cell3080",6140,15369,10291,792,7857,783,"Batch4"
"Cell3081",8714,24406,12631,1484,15395,1368,"Batch4"
"Cell3082",6669,17317,10775,1192,9999,1230,"Batch4"
"Cell3083",7843,19763,15118,1378,10806,1073,"Batch4"
"Cell3084",5848,14010,11038,853,7540,995,"Batch4"
"Cell3085",11077,24078,18149,1602,11309,1431,"Batch4"
"Cell3086",8896,23213,14445,1310,12050,1116,"Batch4"
"Cell3087",7309,13728,11889,1070,9036,853,"Batch4"
"Cell3088",9138,21594,12687,1381,9745,1343,"Batch4"
"Cell3089",7425,16049,12268,1073,8035,1053,"Batch4"
"Cell3090",6207,11710,13958,941,9443,988,"Batch4"
"Cell3091",16332,34028,23852,2134,16790,2591,"Batch4"
"Cell3092",9180,15520,12890,1108,12663,1055,"Batch4"
"Cell3093",8311,19673,14107,944,12028,1287,"Batch4"
"Cell3094",9423,22493,18352,1088,9569,1274,"Batch4"
"Cell3095",6447,15808,15862,985,7894,946,"Batch4"
"Cell3096",9663,20376,14435,1531,11195,1483,"Batch4"
"Cell3097",10862,23485,14019,1353,12204,1392,"Batch4"
"Cell3098",8263,21946,11966,1119,11842,1410,"Batch4"
"Cell3099",6616,15049,12604,831,6282,1069,"Batch4"
"Cell3100",12053,29609,18519,1804,19212,2292,"Batch4"
"Cell3101",9501,28048,23728,2118,12551,1473,"Batch4"
"Cell3102",9707,24196,14691,1110,15297,1448,"Batch4"
"Cell3103",8680,20434,19166,1472,13067,1459,"Batch4"
"Cell3104",7837,20904,15713,1395,14832,1498,"Batch4"
"Cell3105",9100,18557,14584,1244,10461,1002,"Batch4"
"Cell3106",9147,21018,14523,1852,12600,1660,"Batch4"
"Cell3107",12903,29422,22159,1971,16827,1914,"Batch4"
"Cell3108",9577,22071,15455,1373,12461,1474,"Batch4"
"Cell3109",8290,16668,12886,1222,13212,987,"Batch4"
"Cell3110",8983,21909,16599,1290,13778,1285,"Batch4"
"Cell3111",10316,19610,14845,1159,10766,1236,"Batch4"
"Cell3112",10818,26933,19707,1777,12683,1384,"Batch4"
"Cell3113",8529,20108,18153,1168,11142,1570,"Batch4"
"Cell3114",7312,21379,15804,1253,9521,1327,"Batch4"
"Cell3115",11776,30096,30139,2018,15164,2129,"Batch4"
"Cell3116",11682,25964,19712,2024,19824,1872,"Batch4"
"Cell3117",10165,24494,17529,1513,12817,1604,"Batch4"
"Cell3118",11431,24924,17817,1564,16349,1687,"Batch4"
"Cell3119",8398,17291,13174,1417,11366,1111,"Batch4"
"Cell3120",5254,15935,8500,805,7938,1247,"Batch4"
"Cell3121",7565,18976,13105,977,13104,1163,"Batch4"
"Cell3122",9621,21336,19133,1502,12603,1262,"Batch4"
"Cell3123",8773,19289,16600,882,13561,1649,"Batch4"
"Cell3124",8981,19798,16566,1452,11867,1481,"Batch4"
"Cell3125",10380,20330,14098,1475,12879,1612,"Batch4"
"Cell3126",9780,21958,15618,1302,12357,1533,"Batch4"
"Cell3127",15282,34082,22820,2230,20711,2400,"Batch4"
"Cell3128",6670,16400,11736,918,7871,1099,"Batch4"
"Cell3129",10483,28442,20998,1683,15163,1516,"Batch4"
"Cell3130",7422,15900,13924,1086,9563,995,"Batch4"
"Cell3131",8687,20092,15398,1124,9117,1349,"Batch4"
"Cell3132",11292,21499,21623,1614,17194,1675,"Batch4"
"Cell3133",8010,17893,12767,1276,12098,938,"Batch4"
"Cell3134",14144,34578,20181,1821,13524,2070,"Batch4"
"Cell3135",8534,17035,10988,1049,10994,913,"Batch4"
"Cell3136",11994,30322,21705,2186,15934,1956,"Batch4"
"Cell3137",6071,12786,9613,988,7459,1166,"Batch4"
"Cell3138",10234,22841,18731,1793,15225,1613,"Batch4"
"Cell3139",7013,16781,16463,1094,9946,1991,"Batch4"
"Cell3140",10274,20250,16987,1210,12401,1371,"Batch4"
"Cell3141",5452,15197,12480,894,7928,675,"Batch4"
"Cell3142",10864,20288,18017,1505,10646,1600,"Batch4"
"Cell3143",14017,34034,20349,2379,20550,2706,"Batch4"
"Cell3144",11000,27890,20547,2019,16933,1744,"Batch4"
"Cell3145",10038,21174,16330,1560,15526,1440,"Batch4"
"Cell3146",7934,16421,13817,1121,10329,1177,"Batch4"
"Cell3147",8894,22337,14724,1255,10234,1115,"Batch4"
"Cell3148",7855,14722,13608,1106,10472,1043,"Batch4"
"Cell3149",10591,28071,19519,1565,15556,1465,"Batch4"
"Cell3150",11974,23764,19786,1550,9441,1533,"Batch4"
"Cell3151",6835,19038,13441,1215,7264,988,"Batch4"
"Cell3152",8449,30328,19848,1583,14749,1756,"Batch4"
"Cell3153",10538,23797,17732,1533,13392,1137,"Batch4"
"Cell3154",7859,17035,13936,1083,11154,1204,"Batch4"
"Cell3155",8941,22064,19235,1239,13809,1469,"Batch4"
"Cell3156",7156,17315,11442,1018,9943,1306,"Batch4"
"Cell3157",6848,12406,11518,991,7662,969,"Batch4"
"Cell3158",9222,18596,17904,1237,11678,1500,"Batch4"
"Cell3159",13195,31970,25766,2348,21310,2247,"Batch4"
"Cell3160",7898,17700,11496,1246,8878,1108,"Batch4"
"Cell3161",6913,19215,12122,1517,8946,1107,"Batch4"
"Cell3162",11366,21559,15374,1422,11857,1642,"Batch4"
"Cell3163",8206,19297,19003,1131,13645,1493,"Batch4"
"Cell3164",10236,30258,19183,1948,15358,1831,"Batch4"
"Cell3165",6488,14109,12767,879,6404,796,"Batch4"
"Cell3166",6007,14788,13175,1156,7868,870,"Batch4"
"Cell3167",9031,17983,12410,1241,10697,1108,"Batch4"
"Cell3168",9268,20606,15849,1246,10785,1125,"Batch4"
"Cell3169",10571,23269,12973,1507,12795,1468,"Batch4"
"Cell3170",7241,21633,14583,1004,10258,1026,"Batch4"
"Cell3171",7680,15352,12194,861,9558,1055,"Batch4"
"Cell3172",11805,30138,27510,1867,19130,1690,"Batch4"
"Cell3173",8281,20900,10503,1158,9357,1107,"Batch4"
"Cell3174",5445,15264,11308,1009,9004,963,"Batch4"
"Cell3175",7369,19115,14905,1030,9143,935,"Batch4"
"Cell3176",8550,25998,16496,1523,11384,1703,"Batch4"
"Cell3177",8479,15605,14043,1271,9987,1373,"Batch4"
"Cell3178",11085,24071,17625,1661,15269,1358,"Batch4"
"Cell3179",9403,25468,18503,1686,13940,1367,"Batch4"
"Cell3180",7370,18820,13767,1176,11894,974,"Batch4"
"Cell3181",6970,18258,13248,739,8336,1183,"Batch4"
"Cell3182",9165,27834,16139,1599,12465,1378,"Batch4"
"Cell3183",11746,23556,26030,2040,14723,2114,"Batch4"
"Cell3184",8323,21093,17980,1448,9828,1595,"Batch4"
"Cell3185",7689,17455,12773,1330,11176,1289,"Batch4"
"Cell3186",5561,13513,10020,945,6178,841,"Batch4"
"Cell3187",11363,26780,21329,1473,15640,2086,"Batch4"
"Cell3188",9008,22990,15923,1379,13014,1258,"Batch4"
"Cell3189",11263,27309,15971,1575,14123,1237,"Batch4"
"Cell3190",9249,21169,19096,1480,12879,1534,"Batch4"
"Cell3191",7569,23119,14027,1174,12019,1242,"Batch4"
"Cell3192",9052,15050,18286,1386,12220,1050,"Batch4"
"Cell3193",5553,13168,11267,902,7057,1011,"Batch4"
"Cell3194",4823,12070,9426,1187,6886,873,"Batch4"
"Cell3195",6033,17475,11968,1168,9398,1279,"Batch4"
"Cell3196",12239,32948,26233,1616,15522,1874,"Batch4"
"Cell3197",7851,18860,16170,1233,11396,1516,"Batch4"
"Cell3198",9251,19377,14218,1495,11329,1471,"Batch4"
"Cell3199",10574,30068,25928,1479,17716,2246,"Batch4"
"Cell3200",11909,22927,17628,1344,11024,1394,"Batch4"
"Cell3201",8201,18066,15146,1551,9594,1559,"Batch4"
"Cell3202",11285,28377,19208,1875,14316,2150,"Batch4"
"Cell3203",8463,19347,12672,991,9706,1057,"Batch4"
"Cell3204",8330,15938,11563,1187,9006,1285,"Batch4"
"Cell3205",5278,15425,12284,738,6781,856,"Batch4"
"Cell3206",5736,13847,10792,1034,7862,997,"Batch4"
"Cell3207",9024,22081,14862,1522,13906,1581,"Batch4"
"Cell3208",6139,18913,8827,1074,7596,980,"Batch4"
"Cell3209",8185,22164,13541,1515,14344,1878,"Batch4"
"Cell3210",8674,24004,16082,1952,13327,1298,"Batch4"
"Cell3211",8625,19679,21835,1246,11656,1286,"Batch4"
"Cell3212",7361,18767,14206,919,9905,1184,"Batch4"
"Cell3213",7872,23248,14010,1419,10293,1180,"Batch4"
"Cell3214",7150,17329,10862,1223,8816,1178,"Batch4"
"Cell3215",7677,15861,13387,1293,11103,1228,"Batch4"
"Cell3216",7227,16237,13737,1114,10098,998,"Batch4"
"Cell3217",8689,16359,18140,1089,11441,929,"Batch4"
"Cell3218",7037,16333,10200,1061,9140,979,"Batch4"
"Cell3219",7754,21745,16484,1354,12035,1140,"Batch4"
"Cell3220",8688,20200,13456,1117,10515,1177,"Batch4"
"Cell3221",12480,26488,19907,1490,13483,1763,"Batch4"
"Cell3222",9013,19205,16023,1511,12486,1499,"Batch4"
"Cell3223",9078,20832,20188,1538,14303,1774,"Batch4"
"Cell3224",9717,21487,18762,1343,9765,1476,"Batch4"
"Cell3225",7274,18971,15653,1327,9957,1191,"Batch4"
"Cell3226",12124,28017,21589,2378,15770,2020,"Batch4"
"Cell3227",8282,15519,14926,974,8289,939,"Batch4"
"Cell3228",10868,30033,13508,1396,14843,1422,"Batch4"
"Cell3229",11202,21875,13331,1673,13486,1420,"Batch4"
"Cell3230",8874,15861,15508,1428,9850,1326,"Batch4"
"Cell3231",9332,21243,19132,1732,11748,1213,"Batch4"
"Cell3232",9742,25416,20550,1646,12321,1408,"Batch4"
"Cell3233",8871,18116,15570,1176,12473,1521,"Batch4"
"Cell3234",9619,16467,18004,1100,10519,1578,"Batch4"
"Cell3235",9961,22965,17952,1528,14875,1430,"Batch4"
"Cell3236",5754,15394,10588,925,7664,864,"Batch4"
"Cell3237",5505,14789,12284,920,8455,868,"Batch4"
"Cell3238",9179,23223,15513,1500,9826,1527,"Batch4"
"Cell3239",7931,18936,11845,1211,10762,992,"Batch4"
"Cell3240",7430,16352,15250,988,7498,1118,"Batch4"
"Cell3241",8337,21133,16111,1314,9178,1100,"Batch4"
"Cell3242",12646,28538,19935,1829,16282,2426,"Batch4"
"Cell3243",8512,21578,15092,970,10743,1130,"Batch4"
"Cell3244",6465,18020,15153,1196,8316,644,"Batch4"
"Cell3245",10170,25423,25271,1850,17072,1795,"Batch4"
"Cell3246",8857,19288,21353,1684,12799,1363,"Batch4"
"Cell3247",6980,16837,12706,871,8302,958,"Batch4"
"Cell3248",10764,19610,21599,1611,13122,1773,"Batch4"
"Cell3249",8801,24125,18368,1556,14547,1663,"Batch4"
"Cell3250",7833,21379,12071,1255,11370,1142,"Batch4"
"Cell3251",7310,22816,23247,1719,11202,1356,"Batch4"
"Cell3252",8332,18944,16154,1276,9932,921,"Batch4"
"Cell3253",11524,24246,17868,1505,16480,1720,"Batch4"
"Cell3254",7125,16686,12843,1161,10392,896,"Batch4"
"Cell3255",9646,15944,15619,1292,10795,1259,"Batch4"
"Cell3256",9287,20425,13276,1248,13346,1707,"Batch4"
"Cell3257",11035,26963,22417,1908,18489,1605,"Batch4"
"Cell3258",10408,21312,20987,1165,14181,1989,"Batch4"
"Cell3259",8342,19940,14150,1219,12019,1241,"Batch4"
"Cell3260",7396,16949,16739,1832,11708,1032,"Batch4"
"Cell3261",8183,20132,13672,1236,11449,1348,"Batch4"
"Cell3262",8215,19170,13992,1411,10285,1268,"Batch4"
"Cell3263",9998,20713,19164,1687,11828,1418,"Batch4"
"Cell3264",8213,18230,13883,1278,10971,1109,"Batch4"
"Cell3265",12963,30244,25711,1803,14240,1961,"Batch4"
"Cell3266",8638,17212,13549,1514,11936,1297,"Batch4"
"Cell3267",6888,13877,11374,988,9139,946,"Batch4"
"Cell3268",11680,36639,24759,2060,18210,1964,"Batch4"
"Cell3269",6851,18510,15520,1321,10869,1258,"Batch4"
"Cell3270",4925,11023,9028,801,10331,697,"Batch4"
"Cell3271",5749,12906,10543,732,6151,947,"Batch4"
"Cell3272",8316,17443,19182,1034,10670,1374,"Batch4"
"Cell3273",6654,17730,8667,955,10040,941,"Batch4"
"Cell3274",8961,19815,11540,1143,11485,973,"Batch4"
"Cell3275",7953,22237,15428,1233,10220,850,"Batch4"
"Cell3276",7797,15931,11028,1174,10717,1078,"Batch4"
"Cell3277",5949,12768,10827,1034,8415,1009,"Batch4"
"Cell3278",8879,21371,15749,1751,12172,1633,"Batch4"
"Cell3279",10687,24847,18704,1377,13071,1419,"Batch4"
"Cell3280",13854,23616,19336,1822,14010,1853,"Batch4"
"Cell3281",7414,18592,11775,1041,9667,1187,"Batch4"
"Cell3282",6656,17149,15358,1491,9908,1326,"Batch4"
"Cell3283",4339,14840,12782,746,8881,906,"Batch4"
"Cell3284",6977,19227,14560,1181,9395,1329,"Batch4"
"Cell3285",8544,16313,12319,1264,9857,888,"Batch4"
"Cell3286",7348,19045,13607,1586,10778,1008,"Batch4"
"Cell3287",12675,25879,25634,1871,15811,1396,"Batch4"
"Cell3288",8294,21957,9716,1352,10095,1018,"Batch4"
"Cell3289",8896,21446,18918,1356,14177,1570,"Batch4"
"Cell3290",8802,13996,12128,1181,12259,1139,"Batch4"
"Cell3291",7898,17661,15508,1042,9299,892,"Batch4"
"Cell3292",8138,12867,14821,1009,9672,1114,"Batch4"
"Cell3293",5730,12252,8560,886,6785,726,"Batch4"
"Cell3294",11167,21128,20712,1873,17427,1402,"Batch4"
"Cell3295",9746,24990,15520,1466,12573,1110,"Batch4"
"Cell3296",11082,22313,19675,1580,15797,1641,"Batch4"
"Cell3297",9443,23145,15543,999,11603,1486,"Batch4"
"Cell3298",11596,29114,24315,1772,14567,1608,"Batch4"
"Cell3299",7509,23539,23222,1223,9535,1118,"Batch4"
"Cell3300",5761,21824,13954,881,11741,1534,"Batch4"
"Cell3301",8339,22672,15898,1392,10889,1089,"Batch4"
"Cell3302",6661,19513,11709,1119,10616,1432,"Batch4"
"Cell3303",6157,17574,11849,1042,9296,1107,"Batch4"
"Cell3304",11590,27147,20016,1666,15413,1238,"Batch4"
"Cell3305",10244,16880,20974,1301,12819,1616,"Batch4"
"Cell3306",5239,12162,12976,878,10114,1039,"Batch4"
"Cell3307",10495,24861,20305,1688,12354,1841,"Batch4"
"Cell3308",7409,21381,11686,1160,10718,1097,"Batch4"
"Cell3309",7996,17887,14003,1333,11865,902,"Batch4"
"Cell3310",6600,10569,9856,974,7060,829,"Batch4"
"Cell3311",9630,20420,15531,1284,13054,1339,"Batch4"
"Cell3312",7368,23576,15599,1219,14090,1248,"Batch4"
"Cell3313",13397,28772,18452,2386,18132,1882,"Batch4"
"Cell3314",9788,23446,12241,1059,10878,1064,"Batch4"
"Cell3315",11284,24102,16224,1880,14617,1785,"Batch4"
"Cell3316",12528,31976,22094,1665,20053,2330,"Batch4"
"Cell3317",6438,15990,10751,996,9177,1001,"Batch4"
"Cell3318",5603,13892,11251,1030,8198,1193,"Batch4"
"Cell3319",10034,24704,22929,2031,11514,1550,"Batch4"
"Cell3320",5885,13262,11534,950,7185,875,"Batch4"
"Cell3321",6596,14799,10667,1167,10541,1158,"Batch4"
"Cell3322",6502,15280,12885,1128,9651,1106,"Batch4"
"Cell3323",7572,14755,13449,1462,7376,1009,"Batch4"
"Cell3324",12129,23004,19105,1780,14738,1884,"Batch4"
"Cell3325",6322,16998,10553,637,8796,859,"Batch4"
"Cell3326",11103,22580,20073,1241,11969,1276,"Batch4"
"Cell3327",10000,25062,15081,1526,13381,1388,"Batch4"
"Cell3328",7379,15243,16268,1403,8745,1325,"Batch4"
"Cell3329",8786,19165,15596,1437,10583,1223,"Batch4"
"Cell3330",7361,16110,15520,1260,10887,1097,"Batch4"
"Cell3331",7013,14631,9700,943,9036,967,"Batch4"
"Cell3332",9150,20343,18023,1602,13789,1739,"Batch4"
"Cell3333",9406,21092,18199,1592,13844,1447,"Batch4"
"Cell3334",7446,16482,15013,1268,12786,1294,"Batch4"
"Cell3335",7957,19056,12285,1277,12110,970,"Batch4"
"Cell3336",7438,17398,14028,1978,11795,1199,"Batch4"
"Cell3337",8487,19484,18310,1290,10531,1231,"Batch4"
"Cell3338",7913,16283,13714,1000,10166,1139,"Batch4"
"Cell3339",9705,20382,17461,1625,11753,1634,"Batch4"
"Cell3340",7442,21654,18921,1241,10240,1273,"Batch4"
"Cell3341",9850,19330,16526,1420,13050,1091,"Batch4"
"Cell3342",10033,25660,18123,1316,12776,1464,"Batch4"
"Cell3343",8354,15595,16616,1277,13154,1539,"Batch4"
"Cell3344",8916,26089,19148,1550,11999,1343,"Batch4"
"Cell3345",8100,20222,14599,1426,10509,1137,"Batch4"
"Cell3346",5373,14434,12352,736,7776,951,"Batch4"
"Cell3347",8167,21448,21042,1059,13417,1296,"Batch4"
"Cell3348",12285,35342,24002,1552,16540,1767,"Batch4"
"Cell3349",6579,16955,13858,1169,9232,921,"Batch4"
"Cell3350",6693,14834,12248,960,8096,892,"Batch4"
"Cell3351",6964,20320,14160,990,11394,783,"Batch4"
"Cell3352",8482,17759,12254,1241,10000,1048,"Batch4"
"Cell3353",9361,17426,14222,1037,11875,1349,"Batch4"
"Cell3354",8829,18381,19692,1160,7734,1192,"Batch4"
"Cell3355",7194,17123,15832,1124,12040,1177,"Batch4"
"Cell3356",6036,16272,14987,1008,9260,902,"Batch4"
"Cell3357",5530,15186,10529,869,9242,1080,"Batch4"
"Cell3358",8687,19533,15911,1635,10676,1084,"Batch4"
"Cell3359",9795,17826,17808,1506,11505,1365,"Batch4"
"Cell3360",9308,22620,20414,1575,13253,1669,"Batch4"
"Cell3361",12419,25137,18999,1692,15401,1699,"Batch4"
"Cell3362",8707,20532,14965,1598,12908,1369,"Batch4"
"Cell3363",7585,19331,14749,1458,11345,1481,"Batch4"
"Cell3364",12892,27497,16696,1700,14533,1905,"Batch4"
"Cell3365",6020,15054,12583,1273,9815,1273,"Batch4"
"Cell3366",11000,27175,20660,2029,16372,2345,"Batch4"
"Cell3367",8302,23230,16784,1071,12926,1332,"Batch4"
"Cell3368",10357,22243,13241,1763,14504,1153,"Batch4"
"Cell3369",6333,11788,9835,764,7630,830,"Batch4"
"Cell3370",8083,16846,12646,1369,11359,796,"Batch4"
"Cell3371",7578,15079,9857,1031,9387,1271,"Batch4"
"Cell3372",7711,16694,12424,1027,11074,1092,"Batch4"
"Cell3373",8967,19660,15578,1272,10312,1192,"Batch4"
"Cell3374",12291,26353,16171,2036,14901,1672,"Batch4"
"Cell3375",11838,26370,20288,1560,14177,1785,"Batch4"
"Cell3376",8320,18311,15651,1524,12300,1844,"Batch4"
"Cell3377",9564,19167,14309,1124,11681,1155,"Batch4"
"Cell3378",6340,13384,9900,922,7704,776,"Batch4"
"Cell3379",7772,15274,17830,1349,12999,1499,"Batch4"
"Cell3380",7069,19271,12924,1172,9526,1190,"Batch4"
"Cell3381",12431,28753,19002,1553,13460,1498,"Batch4"
"Cell3382",4459,11516,10349,840,8466,804,"Batch4"
"Cell3383",7861,22603,16294,1357,10702,1458,"Batch4"
"Cell3384",10493,23646,17924,1672,13208,1614,"Batch4"
"Cell3385",6427,14807,11662,1273,8072,1271,"Batch4"
"Cell3386",8012,24279,17425,1341,11964,1503,"Batch4"
"Cell3387",7641,20142,13666,1125,10094,1301,"Batch4"
"Cell3388",8955,19727,14558,1591,9566,1250,"Batch4"
"Cell3389",8721,17284,15893,1222,10362,1293,"Batch4"
"Cell3390",7197,22626,17809,1095,11372,1203,"Batch4"
"Cell3391",6505,20925,14867,666,9482,1097,"Batch4"
"Cell3392",10529,22392,20616,1901,13744,2150,"Batch4"
"Cell3393",6658,14852,16743,1109,9707,1002,"Batch4"
"Cell3394",6566,16801,12764,980,10596,1007,"Batch4"
"Cell3395",9073,21323,13441,1199,12898,1046,"Batch4"
"Cell3396",10915,19816,16123,1584,9684,1706,"Batch4"
"Cell3397",15282,24992,27645,2065,17315,1713,"Batch4"
"Cell3398",8739,23520,18944,1581,15075,1822,"Batch4"
"Cell3399",9318,20678,18605,1307,11272,1600,"Batch4"
"Cell3400",10579,24197,16997,1539,11743,1762,"Batch4"
"Cell3401",6516,17791,14246,1261,9129,1339,"Batch4"
"Cell3402",10699,25906,26266,1478,15658,1347,"Batch4"
"Cell3403",9438,19304,17204,1218,10639,1241,"Batch4"
"Cell3404",6080,18265,13549,835,10236,874,"Batch4"
"Cell3405",11796,19082,16881,1786,12965,1562,"Batch4"
"Cell3406",8276,17293,12884,1112,9044,1044,"Batch4"
"Cell3407",10214,24583,16738,1151,10690,1240,"Batch4"
"Cell3408",11557,23702,26149,1599,12880,1369,"Batch4"
"Cell3409",5708,15331,12020,795,9234,1082,"Batch4"
"Cell3410",9272,19329,14827,1260,8372,1463,"Batch4"
"Cell3411",9774,23689,16306,1256,10937,1512,"Batch4"
"Cell3412",11143,29598,15566,1672,16195,1837,"Batch4"
"Cell3413",11472,24073,18359,1601,14488,1116,"Batch4"
"Cell3414",14448,31835,19893,1743,15272,2117,"Batch4"
"Cell3415",10891,28626,19558,1655,14554,1805,"Batch4"
"Cell3416",12641,20969,18179,1906,12557,1802,"Batch4"
"Cell3417",12273,27515,22206,1764,15832,1683,"Batch4"
"Cell3418",11411,30836,18221,1869,15195,1797,"Batch4"
"Cell3419",7301,16980,10961,859,8846,908,"Batch4"
"Cell3420",8377,21769,18573,1803,11959,1423,"Batch4"
"Cell3421",8986,19726,14741,1243,10177,1084,"Batch4"
"Cell3422",11014,25681,19861,1479,11477,1326,"Batch4"
"Cell3423",8819,17332,15061,1194,12739,1343,"Batch4"
"Cell3424",10966,24112,18180,1305,10617,1308,"Batch4"
"Cell3425",7228,19391,11601,1386,8638,876,"Batch4"
"Cell3426",7962,19485,13655,1193,11405,1099,"Batch4"
"Cell3427",8154,20772,13467,1101,9888,1183,"Batch4"
"Cell3428",11436,20390,19789,1420,12075,1438,"Batch4"
"Cell3429",9515,17284,12349,1267,11061,1367,"Batch4"
"Cell3430",10422,24875,17196,1346,11666,1539,"Batch4"
"Cell3431",8584,17953,14691,1045,10418,1248,"Batch4"
"Cell3432",12650,25124,15777,1724,17455,1359,"Batch4"
"Cell3433",11765,19163,17994,1843,14047,2100,"Batch4"
"Cell3434",10200,29326,23084,1758,15158,1592,"Batch4"
"Cell3435",6626,15903,14199,1147,11104,1199,"Batch4"
"Cell3436",9057,20354,17607,1573,12163,1337,"Batch4"
"Cell3437",6849,17963,10254,833,8153,1264,"Batch4"
"Cell3438",7199,19100,13629,1371,10546,1057,"Batch4"
"Cell3439",8835,18047,13928,1457,11990,1296,"Batch4"
"Cell3440",9299,17582,16041,1364,12572,1063,"Batch4"
"Cell3441",7595,16739,14260,891,9652,1096,"Batch4"
"Cell3442",8388,21414,15760,1429,13533,1032,"Batch4"
"Cell3443",9293,20765,13445,1343,11914,1040,"Batch4"
"Cell3444",8186,21298,16067,1667,10231,1760,"Batch4"
"Cell3445",8370,16320,18045,831,9613,1338,"Batch4"
"Cell3446",5219,12502,12297,728,7188,727,"Batch4"
"Cell3447",7093,14883,11629,934,8819,1078,"Batch4"
"Cell3448",9756,19611,16317,1247,12769,1224,"Batch4"
"Cell3449",11601,31606,21979,1924,18361,1951,"Batch4"
"Cell3450",11227,17175,15520,1045,10105,1229,"Batch4"
"Cell3451",8311,16225,15670,1154,9892,1226,"Batch4"
"Cell3452",9544,21207,16624,1235,9165,1423,"Batch4"
"Cell3453",9462,17084,13240,1516,12917,1281,"Batch4"
"Cell3454",5978,12963,11447,1256,9124,748,"Batch4"
"Cell3455",8853,19201,17588,1590,12761,1239,"Batch4"
"Cell3456",8874,16613,17248,1046,11348,1185,"Batch4"
"Cell3457",6371,14073,11111,970,9711,1021,"Batch4"
"Cell3458",5135,13546,13195,855,7405,767,"Batch4"
"Cell3459",11657,23497,19877,1289,15808,1734,"Batch4"
"Cell3460",7363,16607,12978,1166,11748,1105,"Batch4"
"Cell3461",6337,16686,14041,1222,10582,791,"Batch4"
"Cell3462",8148,19428,14043,1487,11940,1268,"Batch4"
